NOMBRETOT,AUX_Tfno,DIR_LOCALIDAD,DIR_CP,DIR_PROVINCIA,ESTADO_2,ESTADO_1,NOMBRE1,DIR_COMPLETA,AUX_Idiomas,NOMBRE2,DIR_CALLE,TIEMPO
"Parajuá Pozo, José Luís                                                                                                                    (Policlínica Ntra. Sra. del Rosario                                                             )",902302354,EIVISSA,07800,BALEARES/ILLES BALEARS,NEUROFISIOLOGIA CLINICA,BALEARES/ILLES BALEARS,"Parajuá Pozo, José Luís                                                                                                                    (Policlínica Ntra. Sra. del Rosario                                                             )","C/ Vía Romana, 48 Consultas Externas II, 07800 - EIVISSA - BALEARES/ILLES BALEARS",,"Parajuá Pozo, José Luís                                                                                                                    (Policlínica Ntra. Sra. del Rosario                                                             )","C/ Vía Romana, 48 Consultas Externas II",2017-11-14T00:10:08.429000
Policlínica Ntra. Sra. del Rosario,902302354,EIVISSA,07800,BALEARES/ILLES BALEARS,NEUROFISIOLOGIA CLINICA,BALEARES/ILLES BALEARS,Policlínica Ntra. Sra. del Rosario,"C/ Archiduque Luís Salvador, 10 Consultas externas, 07800 - EIVISSA - BALEARES/ILLES BALEARS",,,"C/ Archiduque Luís Salvador, 10 Consultas externas",2017-11-14T00:10:08.987000
Policlínica Ntra. Sra. del Rosario,902302354,EIVISSA,07800,BALEARES/ILLES BALEARS,NEUROFISIOLOGIA CLINICA,BALEARES/ILLES BALEARS,Policlínica Ntra. Sra. del Rosario,"C/ Vía Romana, 48 Consultas Externas II, 07800 - EIVISSA - BALEARES/ILLES BALEARS",,,"C/ Vía Romana, 48 Consultas Externas II",2017-11-14T00:10:09.545000
"Verdi Vaca, Jorge                                                                                                                    (Clínica Juaneda                                                             )",971221220,PALMA DE MALLORCA,07003,BALEARES/ILLES BALEARS,NEUROFISIOLOGIA CLINICA,BALEARES/ILLES BALEARS,"Verdi Vaca, Jorge                                                                                                                    (Clínica Juaneda                                                             )","C/ Company, 30, 07003 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Verdi Vaca, Jorge                                                                                                                    (Clínica Juaneda                                                             )","C/ Company, 30",2017-11-14T00:10:10.157000
"AMER FERRER, GUILLERMO (CONSULTAS MÉDICAS JUANEDA INCA )",971507777,INCA,07300,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"AMER FERRER, GUILLERMO (CONSULTAS MÉDICAS JUANEDA INCA )","Gran Vía Colón, 48 Bajos, 07300 - INCA - BALEARES/ILLES BALEARS",,"AMER FERRER, GUILLERMO (CONSULTAS MÉDICAS JUANEDA INCA )","Gran Vía Colón, 48 Bajos",2017-11-14T00:10:21.782000
"CAMIÑA MÚÑIZ, JAVIER (HOSPITAL QUIRÓNSALUD PALMAPLANAS )",971918000,PALMA DE MALLORCA,07010,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"CAMIÑA MÚÑIZ, JAVIER (HOSPITAL QUIRÓNSALUD PALMAPLANAS )","Cmno. Dels Reis, s/n, 07010 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"CAMIÑA MÚÑIZ, JAVIER (HOSPITAL QUIRÓNSALUD PALMAPLANAS )","Cmno. Dels Reis, s/n",2017-11-14T00:10:22.558000
CLINIC BALEAR,971774343,PALMA DE MALLORCA,07006,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,CLINIC BALEAR,"C/ Nuredduna, 4 CB PALMA, 07006 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,,"C/ Nuredduna, 4 CB PALMA",2017-11-14T00:10:23.327000
CLONUS,971764405,PALMA DE MALLORCA,07014,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,CLONUS,"C/ Company, 30, 07014 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,,"C/ Company, 30",2017-11-14T00:10:23.895000
CLÍNICA JUANEDA,971221220,PALMA DE MALLORCA,07003,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,CLÍNICA JUANEDA,"C/ Company, 30, 07003 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,,"C/ Company, 30",2017-11-14T00:10:24.434000
Clínica Juaneda Miramar,971767000,PALMA DE MALLORCA,07011,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,Clínica Juaneda Miramar,"Cmno. de la Vileta, 30, 07011 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,,"Cmno. de la Vileta, 30",2017-11-14T00:10:24.990000
Clínica Menorca,971480505,CIUTADELLA DE MENORCA,07760,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,Clínica Menorca,"C/ Canonge Moll, s/n, 07760 - CIUTADELLA DE MENORCA - BALEARES/ILLES BALEARS",,,"C/ Canonge Moll, s/n",2017-11-14T00:10:25.564000
Clínica Rotger-Grupo Quirónsalud,971448500,PALMA DE MALLORCA,07012,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,Clínica Rotger-Grupo Quirónsalud,"C/ Santiago Russinyol, 9, 07012 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,,"C/ Santiago Russinyol, 9",2017-11-14T00:10:26.101000
Consultas Médicas Juaneda Inca,971507777,INCA,07300,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,Consultas Médicas Juaneda Inca,"Gran Vía Colón, 48 Bajos, 07300 - INCA - BALEARES/ILLES BALEARS",,,"Gran Vía Colón, 48 Bajos",2017-11-14T00:10:26.661000
"Elices Palomar, Eloy                                                                                                                    (Clínica Rotger-Grupo Quirónsalud                                                             )",971448500,PALMA DE MALLORCA,07012,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"Elices Palomar, Eloy                                                                                                                    (Clínica Rotger-Grupo Quirónsalud                                                             )","C/ Santiago Russinyol, 9, 07012 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Elices Palomar, Eloy                                                                                                                    (Clínica Rotger-Grupo Quirónsalud                                                             )","C/ Santiago Russinyol, 9",2017-11-14T00:10:27.293000
"Elices Palomar, Eloy                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )",971918000,PALMA DE MALLORCA,07010,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"Elices Palomar, Eloy                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )","Cmno. Dels Reis, s/n, 07010 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Elices Palomar, Eloy                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )","Cmno. Dels Reis, s/n",2017-11-14T00:10:27.867000
"Estrany Bauzá, Jaume                                                                                                                    (Clínica Juaneda Miramar                                                             )",971767000,PALMA DE MALLORCA,07011,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"Estrany Bauzá, Jaume                                                                                                                    (Clínica Juaneda Miramar                                                             )","Cmno. de la Vileta, 30, 07011 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Estrany Bauzá, Jaume                                                                                                                    (Clínica Juaneda Miramar                                                             )","Cmno. de la Vileta, 30",2017-11-14T00:10:28.451000
"Garcia Caldentey, Juan                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )",971918000,PALMA DE MALLORCA,07010,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"Garcia Caldentey, Juan                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )","Cmno. Dels Reis, s/n, 07010 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Garcia Caldentey, Juan                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )","Cmno. Dels Reis, s/n",2017-11-14T00:10:29.053000
Hospital Quirónsalud Palmaplanas,971918000,PALMA DE MALLORCA,07010,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,Hospital Quirónsalud Palmaplanas,"Cmno. Dels Reis, s/n, 07010 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,,"Cmno. Dels Reis, s/n",2017-11-14T00:10:29.614000
"Ivanoski, Trasche                                                                                                                    (Clinic Balear                                                             )",971774343,PALMA DE MALLORCA,07006,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"Ivanoski, Trasche                                                                                                                    (Clinic Balear                                                             )","C/ Nuredduna, 4 CB PALMA, 07006 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Ivanoski, Trasche                                                                                                                    (Clinic Balear                                                             )","C/ Nuredduna, 4 CB PALMA",2017-11-14T00:10:30.203000
"Ivanovsky, Trajche                                                                                                                    (Clínica Juaneda                                                             )",971221220,PALMA DE MALLORCA,07003,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"Ivanovsky, Trajche                                                                                                                    (Clínica Juaneda                                                             )","C/ Company, 30, 07003 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Ivanovsky, Trajche                                                                                                                    (Clínica Juaneda                                                             )","C/ Company, 30",2017-11-14T00:10:30.808000
"Jorge Pozzi, Hector                                                                                                                    (Clínica Menorca                                                             )",971480505,CIUTADELLA DE MENORCA,07760,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"Jorge Pozzi, Hector                                                                                                                    (Clínica Menorca                                                             )","C/ Canonge Moll, s/n, 07760 - CIUTADELLA DE MENORCA - BALEARES/ILLES BALEARS",,"Jorge Pozzi, Hector                                                                                                                    (Clínica Menorca                                                             )","C/ Canonge Moll, s/n",2017-11-14T00:10:31.628000
"Marqués Casasnova, Carmen                                                                                                                    (Clínica Menorca                                                             )",971480505,CIUTADELLA DE MENORCA,07760,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"Marqués Casasnova, Carmen                                                                                                                    (Clínica Menorca                                                             )","C/ Canonge Moll, s/n, 07760 - CIUTADELLA DE MENORCA - BALEARES/ILLES BALEARS",,"Marqués Casasnova, Carmen                                                                                                                    (Clínica Menorca                                                             )","C/ Canonge Moll, s/n",2017-11-14T00:10:32.226000
"Marqués Casasnovas, Carmen                                                                                                                    (Clínica Juaneda                                                             )",971221220,PALMA DE MALLORCA,07003,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"Marqués Casasnovas, Carmen                                                                                                                    (Clínica Juaneda                                                             )","C/ Company, 30, 07003 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Marqués Casasnovas, Carmen                                                                                                                    (Clínica Juaneda                                                             )","C/ Company, 30",2017-11-14T00:10:32.830000
"Martínez García, Ana Belén                                                                                                                    (Clínica Rotger-Grupo Quirónsalud                                                             )",971448500,PALMA DE MALLORCA,07012,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"Martínez García, Ana Belén                                                                                                                    (Clínica Rotger-Grupo Quirónsalud                                                             )","C/ Santiago Russinyol, 9, 07012 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Martínez García, Ana Belén                                                                                                                    (Clínica Rotger-Grupo Quirónsalud                                                             )","C/ Santiago Russinyol, 9",2017-11-14T00:10:33.429000
"Mora Pueyo, Francisco J.                                                                                                                    (Clínica Juaneda                                                             )",971221220,PALMA DE MALLORCA,07003,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"Mora Pueyo, Francisco J.                                                                                                                    (Clínica Juaneda                                                             )","C/ Company, 30, 07003 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Mora Pueyo, Francisco J.                                                                                                                    (Clínica Juaneda                                                             )","C/ Company, 30",2017-11-14T00:10:34.023000
Neurodiagnosis Dr. Rossiñol,971714580,PALMA DE MALLORCA,07003,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,Neurodiagnosis Dr. Rossiñol,"C/ Vía Alemania, 3 2º, 07003 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,,"C/ Vía Alemania, 3 2º",2017-11-14T00:10:34.696000
"Nobbe, Fritz                                                                                                                    (Clínica Juaneda                                                             )",971221220,PALMA DE MALLORCA,07003,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"Nobbe, Fritz                                                                                                                    (Clínica Juaneda                                                             )","C/ Company, 30, 07003 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Nobbe, Fritz                                                                                                                    (Clínica Juaneda                                                             )","C/ Company, 30",2017-11-14T00:10:35.294000
"Palomar Buil, Manuel                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )",971918000,PALMA DE MALLORCA,07010,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"Palomar Buil, Manuel                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )","Cmno. Dels Reis, s/n, 07010 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Palomar Buil, Manuel                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )","Cmno. Dels Reis, s/n",2017-11-14T00:10:35.893000
"Pujol Nuez, Ana María                                                                                                                    (Clonus                                                             )",971764405,PALMA DE MALLORCA,07014,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"Pujol Nuez, Ana María                                                                                                                    (Clonus                                                             )","C/ Company, 30, 07014 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Pujol Nuez, Ana María                                                                                                                    (Clonus                                                             )","C/ Company, 30",2017-11-14T00:10:36.499000
"Ruiz Moriana, Diego                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )",971918000,PALMA DE MALLORCA,07010,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"Ruiz Moriana, Diego                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )","Cmno. Dels Reis, s/n, 07010 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Ruiz Moriana, Diego                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )","Cmno. Dels Reis, s/n",2017-11-14T00:10:37.141000
"Sancho Ripoll, Francisco",971715523,PALMA DE MALLORCA,07012,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"Sancho Ripoll, Francisco","C/ Concepción, 15 4º B, 07012 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,,"C/ Concepción, 15 4º B",2017-11-14T00:10:37.977000
"Verdi Vaca, Jorge                                                                                                                    (Clínica Juaneda                                                             )",971221220,PALMA DE MALLORCA,07003,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"Verdi Vaca, Jorge                                                                                                                    (Clínica Juaneda                                                             )","C/ Company, 30, 07003 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Verdi Vaca, Jorge                                                                                                                    (Clínica Juaneda                                                             )","C/ Company, 30",2017-11-14T00:10:38.580000
"Verdi Vaca, Jorge                                                                                                                    (Consultas Médicas Juaneda Inca                                                             )",971507777,INCA,07300,BALEARES/ILLES BALEARS,NEUROLOGIA,BALEARES/ILLES BALEARS,"Verdi Vaca, Jorge                                                                                                                    (Consultas Médicas Juaneda Inca                                                             )","Gran Vía Colón, 48 Bajos, 07300 - INCA - BALEARES/ILLES BALEARS",,"Verdi Vaca, Jorge                                                                                                                    (Consultas Médicas Juaneda Inca                                                             )","Gran Vía Colón, 48 Bajos",2017-11-14T00:10:39.146000
"AGÜERA, XAVIER (CENTRO MÉDICO JUANEDA ALCUDIA )",971547373,ALCUDIA,07400,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"AGÜERA, XAVIER (CENTRO MÉDICO JUANEDA ALCUDIA )","Xara, 17 (esq.c/Eivissa), 07400 - ALCUDIA - BALEARES/ILLES BALEARS",,"AGÜERA, XAVIER (CENTRO MÉDICO JUANEDA ALCUDIA )","Xara, 17 (esq.c/Eivissa)",2017-11-14T00:10:51.018000
"BALTA I ARANDES, RUBEN (CLINIC BALEAR )",971883030,INCA,07300,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"BALTA I ARANDES, RUBEN (CLINIC BALEAR )","C/ Gran Vía Colón, 201 CB INCA, 07300 - INCA - BALEARES/ILLES BALEARS",,"BALTA I ARANDES, RUBEN (CLINIC BALEAR )","C/ Gran Vía Colón, 201 CB INCA",2017-11-14T00:10:51.589000
"BALTA I ARANDES, RUBEN (CLINIC BALEAR )",971774343,PALMA DE MALLORCA,07006,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"BALTA I ARANDES, RUBEN (CLINIC BALEAR )","C/ Nuredduna, 4 CB PALMA, 07006 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"BALTA I ARANDES, RUBEN (CLINIC BALEAR )","C/ Nuredduna, 4 CB PALMA",2017-11-14T00:10:52.190000
"BALTA I ARANDES, RUBEN (CLINIC BALEAR )",971634333,SOLLER,07100,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"BALTA I ARANDES, RUBEN (CLINIC BALEAR )","C/ Sa Mar, 163 CB SÓLLER, 07100 - SOLLER - BALEARES/ILLES BALEARS",,"BALTA I ARANDES, RUBEN (CLINIC BALEAR )","C/ Sa Mar, 163 CB SÓLLER",2017-11-14T00:10:52.805000
"BALTÁ ARANDES, RUBÉN (HOSPITAL QUIRÓNSALUD PALMAPLANAS )",971918000,PALMA DE MALLORCA,07010,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"BALTÁ ARANDES, RUBÉN (HOSPITAL QUIRÓNSALUD PALMAPLANAS )","Cmno. Dels Reis, s/n, 07010 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"BALTÁ ARANDES, RUBÉN (HOSPITAL QUIRÓNSALUD PALMAPLANAS )","Cmno. Dels Reis, s/n",2017-11-14T00:10:53.402000
"Barceló Tortella, Rosa M.                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )",971918000,PALMA DE MALLORCA,07010,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"Barceló Tortella, Rosa M.                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )","Cmno. Dels Reis, s/n, 07010 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Barceló Tortella, Rosa M.                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )","Cmno. Dels Reis, s/n",2017-11-14T00:10:54.002000
"Bauer, Mathias                                                                                                                    (Clínica Juaneda                                                             )",971221220,PALMA DE MALLORCA,07003,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"Bauer, Mathias                                                                                                                    (Clínica Juaneda                                                             )","C/ Company, 30, 07003 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Bauer, Mathias                                                                                                                    (Clínica Juaneda                                                             )","C/ Company, 30",2017-11-14T00:10:54.593000
"Bermudez Gutierrez, Maria Jose                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )",971918000,PALMA DE MALLORCA,07010,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"Bermudez Gutierrez, Maria Jose                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )","Cmno. Dels Reis, s/n, 07010 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Bermudez Gutierrez, Maria Jose                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )","Cmno. Dels Reis, s/n",2017-11-14T00:10:55.191000
"Bolivar Fenollosa, Miguel                                                                                                                    (Clínica Juaneda                                                             )",971221220,PALMA DE MALLORCA,07003,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"Bolivar Fenollosa, Miguel                                                                                                                    (Clínica Juaneda                                                             )","C/ Company, 30, 07003 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Bolivar Fenollosa, Miguel                                                                                                                    (Clínica Juaneda                                                             )","C/ Company, 30",2017-11-14T00:10:55.783000
"Bolivar Fenollosa, Miguel                                                                                                                    (CEM                                                             )",971120021,LLUCMAJOR,07620,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"Bolivar Fenollosa, Miguel                                                                                                                    (CEM                                                             )","C/ Ciudad, 12, 07620 - LLUCMAJOR - BALEARES/ILLES BALEARS",,"Bolivar Fenollosa, Miguel                                                                                                                    (CEM                                                             )","C/ Ciudad, 12",2017-11-14T00:10:56.411000
"Bolivar Fenollosa, Miguel Angel                                                                                                                    (Clinic Balear                                                             )",971556000,MANACOR,07500,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"Bolivar Fenollosa, Miguel Angel                                                                                                                    (Clinic Balear                                                             )","Ronda Institut, 13 CB MANACOR, 07500 - MANACOR - BALEARES/ILLES BALEARS",,"Bolivar Fenollosa, Miguel Angel                                                                                                                    (Clinic Balear                                                             )","Ronda Institut, 13 CB MANACOR",2017-11-14T00:10:57.023000
"Bolivar Fenollosa, Miguel Angel                                                                                                                    (Clinic Balear                                                             )",971651999,CAMPOS,07630,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"Bolivar Fenollosa, Miguel Angel                                                                                                                    (Clinic Balear                                                             )","Ronda Manacor, 25 CB CAMPOS, 07630 - CAMPOS - BALEARES/ILLES BALEARS",,"Bolivar Fenollosa, Miguel Angel                                                                                                                    (Clinic Balear                                                             )","Ronda Manacor, 25 CB CAMPOS",2017-11-14T00:10:57.672000
"Bolivar, Miguel Angel                                                                                                                    (Clinic Balear                                                             )",971682020,CALVIA,07181,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"Bolivar, Miguel Angel                                                                                                                    (Clinic Balear                                                             )","Avda. Cordoba s/n CB Palmanova, 07181 - CALVIA - BALEARES/ILLES BALEARS",,"Bolivar, Miguel Angel                                                                                                                    (Clinic Balear                                                             )",Avda. Cordoba s/n CB Palmanova,2017-11-14T00:10:58.267000
"Bolivar, Miguel Angel                                                                                                                    (Clinic Balear                                                             )",971883030,INCA,07300,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"Bolivar, Miguel Angel                                                                                                                    (Clinic Balear                                                             )","C/ Gran Vía Colón, 201 CB INCA, 07300 - INCA - BALEARES/ILLES BALEARS",,"Bolivar, Miguel Angel                                                                                                                    (Clinic Balear                                                             )","C/ Gran Vía Colón, 201 CB INCA",2017-11-14T00:10:59.085000
"Bolivar, Miguel Angel                                                                                                                    (Clinic Balear                                                             )",971774343,PALMA DE MALLORCA,07006,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"Bolivar, Miguel Angel                                                                                                                    (Clinic Balear                                                             )","C/ Nuredduna, 4 CB PALMA, 07006 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Bolivar, Miguel Angel                                                                                                                    (Clinic Balear                                                             )","C/ Nuredduna, 4 CB PALMA",2017-11-14T00:10:59.701000
"Calvo Pérez, Andrés                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )",971918000,PALMA DE MALLORCA,07010,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"Calvo Pérez, Andrés                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )","Cmno. Dels Reis, s/n, 07010 - PALMA DE MALLORCA - BALEARES/ILLES BALEARS",,"Calvo Pérez, Andrés                                                                                                                    (Hospital Quirónsalud Palmaplanas                                                             )","Cmno. Dels Reis, s/n",2017-11-14T00:11:00.300000
"Careri, Antonio                                                                                                                    (Policlínica Ntra. Sra. del Rosario                                                             )",902302354,EIVISSA,07800,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"Careri, Antonio                                                                                                                    (Policlínica Ntra. Sra. del Rosario                                                             )","C/ Archiduque Luís Salvador, 10 Consultas externas, 07800 - EIVISSA - BALEARES/ILLES BALEARS",,"Careri, Antonio                                                                                                                    (Policlínica Ntra. Sra. del Rosario                                                             )","C/ Archiduque Luís Salvador, 10 Consultas externas",2017-11-14T00:11:00.919000
"Careri, Antonio                                                                                                                    (Policlínica Ntra. Sra. del Rosario                                                             )",902302354,EIVISSA,07800,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"Careri, Antonio                                                                                                                    (Policlínica Ntra. Sra. del Rosario                                                             )","C/ Vía Romana, 48 Consultas Externas II, 07800 - EIVISSA - BALEARES/ILLES BALEARS",,"Careri, Antonio                                                                                                                    (Policlínica Ntra. Sra. del Rosario                                                             )","C/ Vía Romana, 48 Consultas Externas II",2017-11-14T00:11:01.527000
"Casal Moro, Jorge                                                                                                                    (Policlínica Virgen de Gracia                                                             )",971351115,MAHON/MAO,07703,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"Casal Moro, Jorge                                                                                                                    (Policlínica Virgen de Gracia                                                             )","Avda.Vives -Llull nº6, 07703 - MAHON/MAO - BALEARES/ILLES BALEARS",,"Casal Moro, Jorge                                                                                                                    (Policlínica Virgen de Gracia                                                             )",Avda.Vives -Llull nº6,2017-11-14T00:11:02.131000
"Casal Moro, Jorge",649703034,MAHON/MAO,07701,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,"Casal Moro, Jorge","Plz. Abu Umar, 2 Esc. Dcha. Puerta Dcha., 07701 - MAHON/MAO - BALEARES/ILLES BALEARS",,,"Plz. Abu Umar, 2 Esc. Dcha. Puerta Dcha.",2017-11-14T00:11:02.773000
CEM,971120021,LLUCMAJOR,07620,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,CEM,"C/ Ciudad, 12, 07620 - LLUCMAJOR - BALEARES/ILLES BALEARS",,,"C/ Ciudad, 12",2017-11-14T00:11:03.335000
Centro Médico Juaneda Alcudia,971547373,ALCUDIA,07400,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,Centro Médico Juaneda Alcudia,"Xara, 17 (esq.c/Eivissa), 07400 - ALCUDIA - BALEARES/ILLES BALEARS",,,"Xara, 17 (esq.c/Eivissa)",2017-11-14T00:11:03.908000
Centro Policlínico Quirúrgico,971764161,Palma de Mallorca,07004,BALEARES/ILLES BALEARS,OBSTETRICIA Y GINECOLOGIA,BALEARES/ILLES BALEARS,Centro Policlínico Quirúrgico,"C/ 31 Diciembre, 12 Bajos, 07004 - Palma de Mallorca - BALEARES/ILLES BALEARS",,,"C/ 31 Diciembre, 12 Bajos",2017-11-14T00:11:04.546000
